City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Nelson Bay,AU,2021-11-20 12:27:52,-32.7167,152.15,66.25,88,100,1.01
124,Qom,IR,2021-11-20 12:27:52,34.6401,50.8764,54.36,42,5,6.38
125,Maniitsoq,GL,2021-11-20 12:27:52,65.4167,-52.9,31.95,90,100,18.66
126,Olga,RU,2021-11-20 12:27:53,43.7444,135.2892,30.61,66,34,3.89
127,Dormidontovka,RU,2021-11-20 12:27:53,47.7702,134.9076,17.64,95,100,1.28
128,Taoudenni,ML,2021-11-20 12:27:53,22.6783,-3.9836,87.98,19,87,13.53
129,Teahupoo,PF,2021-11-20 12:27:53,-17.8333,-149.2667,73.36,72,67,15.32
130,Maceio,BR,2021-11-20 12:24:39,-9.6658,-35.7353,81.84,78,75,6.91
131,Hilton Head Island,US,2021-11-20 12:27:16,32.2163,-80.7526,48.97,70,1,16.11
132,Excelsior Springs,US,2021-11-20 12:23:31,39.3392,-94.2261,43.02,60,1,3.44
133,Jatibarang,ID,2021-11-20 12:27:54,-6.4747,108.3153,81.52,76,99,4.47
134,Grindavik,IS,2021-11-20 12:27:54,63.8424,-22.4338,34.27,80,75,10.36
135,Giovinazzo,IT,2021-11-20 12:27:54,41.1864,16.6674,66.81,71,0,5.99
136,Touros,BR,2021-11-20 12:28:55,-5.1989,-35.4608,86.9,60,100,15.84
137,Souillac,MU,2021-11-20 12:23:41,-20.5167,57.5167,82.78,57,20,13.8
138,Horodnytsya,UA,2021-11-20 12:28:55,50.807,27.3168,49.17,59,79,19.86
139,Grand Gaube,MU,2021-11-20 12:28:55,-20.0064,57.6608,82.8,58,5,13.0
140,Inhambane,MZ,2021-11-20 12:27:47,-23.865,35.3833,78.78,83,75,6.91
141,Cabra,ES,2021-11-20 12:28:56,37.4725,-4.4421,57.4,75,100,1.21
142,Cherskiy,RU,2021-11-20 12:24:48,68.75,161.3,-16.46,92,8,3.44
143,Kodiak,US,2021-11-20 12:24:49,57.79,-152.4072,35.11,64,90,24.16
144,Altay,CN,2021-11-20 12:28:56,47.8667,88.1167,3.56,58,0,7.18
145,Port Elizabeth,ZA,2021-11-20 12:28:56,-33.918,25.5701,70.11,68,75,12.66
146,Klaksvik,FO,2021-11-20 12:28:57,62.2266,-6.589,40.12,86,98,19.46
147,Norman Wells,CA,2021-11-20 12:28:57,65.282,-126.8329,3.24,78,75,4.61
148,Oudtshoorn,ZA,2021-11-20 12:28:57,-33.5907,22.2014,62.96,31,0,8.03
149,Luderitz,NA,2021-11-20 12:28:57,-26.6481,15.1594,70.52,61,9,26.15
150,Coihaique,CL,2021-11-20 12:28:58,-45.5752,-72.0662,56.01,67,75,3.44
151,Salalah,OM,2021-11-20 12:28:58,17.0151,54.0924,84.29,58,0,9.22
152,Lorengau,PG,2021-11-20 12:23:38,-2.0226,147.2712,82.27,65,90,2.15
153,Vanderhoof,CA,2021-11-20 12:28:58,54.0166,-124.0198,38.26,62,66,16.49
154,Chernyshevskiy,RU,2021-11-20 12:28:59,63.0128,112.4714,-20.2,100,58,1.45
155,Tyrma,RU,2021-11-20 12:28:59,50.0833,132.1667,9.32,98,99,1.66
156,Bucerias,MX,2021-11-20 12:24:30,20.75,-105.3333,68.99,83,6,4.88
157,Kavieng,PG,2021-11-20 12:29:00,-2.5744,150.7967,82.58,71,70,5.32
158,Meerbusch,DE,2021-11-20 12:29:00,51.2833,6.6667,53.22,82,90,3.0
159,Vikravandi,IN,2021-11-20 12:29:00,12.0333,79.55,80.46,84,67,7.9
160,Inuvik,CA,2021-11-20 12:29:00,68.3499,-133.7218,0.36,84,90,2.3
161,Hami,CN,2021-11-20 12:29:01,42.8,93.45,30.54,29,5,1.97
162,Dukat,RU,2021-11-20 12:29:01,62.55,155.55,-0.02,100,100,1.59
163,Calama,CL,2021-11-20 12:29:02,-22.4667,-68.9333,54.09,15,29,19.57
164,Tiksi,RU,2021-11-20 12:29:03,71.6872,128.8694,-14.06,97,82,6.6
165,Dicabisagan,PH,2021-11-20 12:29:03,17.0818,122.4157,77.72,87,98,6.64
166,San Jeronimo,PE,2021-11-20 12:29:03,-11.9472,-75.2829,48.92,82,100,1.07
167,Saint George,US,2021-11-20 12:29:04,37.1041,-113.5841,53.55,46,75,3.44
168,Jamestown,US,2021-11-20 12:23:11,42.097,-79.2353,30.72,95,1,3.0
169,Poptun,GT,2021-11-20 12:29:04,16.3311,-89.4169,64.36,98,91,0.89
170,Slave Lake,CA,2021-11-20 12:29:04,55.2834,-114.769,15.78,92,90,2.3
171,Thompson,CA,2021-11-20 12:29:04,55.7435,-97.8558,21.36,93,90,10.36
172,Isla Mujeres,MX,2021-11-20 12:29:05,21.2311,-86.731,73.45,83,83,10.69
173,Severo-Kurilsk,RU,2021-11-20 12:23:36,50.6789,156.125,36.63,90,84,5.66
174,Kailua,US,2021-11-20 12:29:05,21.4022,-157.7394,76.14,74,1,6.91
175,Kismayo,SO,2021-11-20 12:29:05,-0.3582,42.5454,84.85,68,19,16.2
176,Bethanien,NA,2021-11-20 12:29:06,-26.502,17.1583,89.74,8,24,6.93
177,Pacific Grove,US,2021-11-20 12:29:06,36.6177,-121.9166,57.6,93,90,1.01
178,Zheleznodorozhnyy,RU,2021-11-20 12:28:43,55.7503,38.0042,34.32,98,100,13.87
179,Kudat,MY,2021-11-20 12:29:06,6.8837,116.8477,78.73,94,20,0.0
180,Dudinka,RU,2021-11-20 12:29:07,69.4058,86.1778,-11.74,93,71,15.88
181,Anadyr,RU,2021-11-20 12:29:07,64.75,177.4833,-12.5,83,0,11.01
182,Ola,RU,2021-11-20 12:30:07,59.5833,151.2833,20.19,79,100,16.87
183,Birin,NP,2021-11-20 12:30:07,26.8865,88.0718,54.28,83,81,2.48
184,Jacksonville,US,2021-11-20 12:30:08,30.3322,-81.6556,68.02,89,75,1.99
185,Guerrero Negro,MX,2021-11-20 12:30:08,27.9769,-114.0611,61.03,90,100,8.34
186,Peniche,PT,2021-11-20 12:30:08,39.3558,-9.3811,66.61,69,25,14.47
187,Coolum Beach,AU,2021-11-20 12:30:09,-26.5333,153.1,74.1,79,58,7.92
188,Kenai,US,2021-11-20 12:30:09,60.5544,-151.2583,-3.95,84,1,8.05
189,Kibala,TD,2021-11-20 12:30:09,9.1104,18.3463,94.95,43,20,6.91
190,Xichang,CN,2021-11-20 12:30:10,27.8964,102.2634,53.8,77,7,3.78
