City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Manaira,BR,83.98,scattered clouds,-7.7061,-38.1544,Pousada Irerê
600,Tual,ID,83.59,light rain,-5.6667,132.75,Grand Vilia Hotel
602,Sorong,ID,80.69,light rain,-0.8833,131.25,Waigo Splash Hotel
604,Axim,GH,79.68,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
606,Progreso,MX,87.91,clear sky,21.2833,-89.6667,Playa Linda Hotel
607,Banda Aceh,ID,78.33,light rain,5.5577,95.3222,Sulthan Hotel International
611,Bara,NG,78.33,broken clouds,10.3744,10.7288,
620,Marsh Harbour,BS,77.29,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
621,Manoel Urbano,BR,83.66,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
624,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
625,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
626,Kailua,US,84.18,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
628,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
635,San Miguelito,PA,81.84,scattered clouds,9.0333,-79.5,Conferencista Jose Pepe Quijada
636,Mazagao,BR,78.85,light rain,-0.115,-51.2894,Recanto dos Ferreiras
639,Santa Cruz De La Palma,ES,75.34,volcanic ash,28.6835,-17.7642,H10 Taburiente Playa
642,Le Port,RE,75.2,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
645,Sao Filipe,CV,81.12,overcast clouds,14.8961,-24.4956,Hotel Xaguate
646,Manzanillo,CU,83.46,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
649,Ambanja,MG,75.76,light rain,-13.6833,48.45,Hotel Salama and Fast Food
650,Itacare,BR,84.09,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
651,Gamba,GA,78.57,overcast clouds,-2.65,10.0,
657,Bonfim,BR,77.77,light rain,3.0833,-59.95,
665,Kudahuvadhoo,MV,81.46,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
667,Ambilobe,MG,76.37,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
670,Cururupu,BR,79.23,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
674,Bac Lieu,VN,78.66,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
675,Sabang,ID,80.62,light rain,5.8933,95.3214,Hotel Citra
678,Jacutinga,BR,83.71,scattered clouds,-22.2856,-46.6122,Hotel Filhos de Gandhi
679,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
681,Mapiripan,CO,85.06,scattered clouds,2.8892,-72.1256,Monserrate
686,San Pedro,PH,78.35,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
688,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
689,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
690,Wagar,SD,76.06,clear sky,16.1525,36.2032,
693,Jesup,US,75.22,clear sky,31.6074,-81.8854,Western Motel
