City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Mae Sai,TH,20.4335,99.8762,66.43,88,9,1.74,clear sky
313,De-Kastri,RU,51.4667,140.7833,12.51,92,37,4.56,scattered clouds
314,La Romana,DO,18.4273,-68.9728,84.56,65,40,17.27,scattered clouds
315,Alexandria,EG,31.2156,29.9553,63.14,77,40,3.44,scattered clouds
316,Baghdad,IQ,33.3406,44.4009,60.71,59,0,5.75,clear sky
317,Champerico,GT,14.3,-91.9167,91.94,69,53,7.11,broken clouds
318,Lakatoro,VU,-16.0999,167.4164,80.56,77,99,4.83,overcast clouds
319,Barabai,ID,-2.5833,115.3833,74.53,93,100,1.3,overcast clouds
320,Dingle,PH,10.9995,122.6711,76.32,92,24,4.52,few clouds
321,Bairiki,KI,1.3292,172.9752,82.4,78,40,3.44,scattered clouds
322,Luderitz,NA,-26.6481,15.1594,60.91,80,0,10.78,clear sky
323,Kambove,CD,-10.8764,26.5969,63.27,87,67,2.75,light rain
324,Vao,NC,-22.6667,167.4833,73.92,80,23,13.76,few clouds
325,Ixtapa,MX,20.7,-105.2,83.23,65,1,11.5,clear sky
326,Agadir,MA,30.4202,-9.5982,64.85,57,13,3.47,few clouds
327,Santa Rosa,PH,14.3122,121.1114,80.11,90,7,4.16,clear sky
328,Bethel,US,41.3712,-73.414,54.05,54,1,3.0,clear sky
329,Saldanha,ZA,-33.0117,17.9442,62.65,84,0,19.13,clear sky
330,Saint Anthony,US,45.0205,-93.218,33.26,43,1,5.99,clear sky
331,Tacoronte,ES,28.4769,-16.4102,66.54,73,20,3.0,few clouds
332,La Libertad,EC,-2.2333,-80.9,73.06,83,75,8.05,broken clouds
333,Puerto Quijarro,BO,-17.7833,-57.7667,91.36,50,100,3.76,overcast clouds
334,Maridi,SS,4.9158,29.4742,72.48,46,56,3.18,broken clouds
335,Mitsamiouli,KM,-11.3847,43.2844,79.56,75,7,6.73,clear sky
336,Teknaf,BD,20.8624,92.3058,71.28,71,7,6.42,clear sky
337,Ylivieska,FI,64.0833,24.55,32.32,55,18,6.08,few clouds
338,Sinnamary,GF,5.3833,-52.95,82.72,72,39,8.52,light rain
339,Jalu,LY,29.0331,21.5482,62.94,57,0,3.4,clear sky
340,Flinders,AU,-34.5833,150.8552,63.21,83,100,4.0,overcast clouds
341,Touros,BR,-5.1989,-35.4608,83.3,71,13,13.38,few clouds
342,Half Moon Bay,US,37.4636,-122.4286,70.14,51,1,9.22,clear sky
343,Grindavik,IS,63.8424,-22.4338,41.47,93,90,21.85,overcast clouds
344,Ulladulla,AU,-35.35,150.4667,62.87,80,100,7.38,overcast clouds
345,Te Anau,NZ,-45.4167,167.7167,49.84,97,100,2.17,overcast clouds
346,Staryy Oskol,RU,51.2967,37.8417,44.64,78,100,19.39,overcast clouds
347,Adrar,MR,20.5022,-10.0711,79.43,25,92,3.11,overcast clouds
